1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 112, 250, 84, 0, 0, 0, 0, 0, 196, 174, 173, 126, 0, 0, 0, 0, 8, 90, 217, 251, 18, 0, 0, 0, 0, 94, 137, 146, 70, 28, 0, 0, 0, 0, 46, 48, 96, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 244, 120, 66, 0, 0, 0, 0, 0, 158, 212, 41, 24, 0, 0, 0, 0, 0, 155, 154, 147, 72, 0, 0, 0, 1, 20, 55, 235, 80, 29, 0, 0, 0, 0, 69, 71, 119, 209, 0, 0, 0, 0, 1, 8, 17, 48, 45, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 49, 99, 0, 0, 0, 0, 0, 111, 73, 209, 190, 0, 0, 0, 0, 1, 139, 37, 12, 125, 0, 0, 0, 1, 237, 46, 148, 73, 221, 0, 0, 1, 8, 118, 160, 89, 129, 1, 0, 0, 0, 39, 54, 34, 42, 81, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 174, 0, 0, 0, 0, 0, 0, 59, 252, 195, 0, 0, 0, 0, 1, 204, 133, 244, 12, 0, 0, 0, 0, 3, 148, 51, 36, 193, 0, 0, 0, 1, 158, 12, 109, 24, 63, 0, 0, 0, 0, 161, 166, 5, 202, 0, 0, 0, 0, 0, 1, 0, 67, 12, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 163, 0, 0, 0, 0, 0, 0, 36, 151, 96, 0, 0, 0, 0, 1, 180, 4, 97, 68, 0, 0, 0, 0, 0, 191, 82, 240, 160, 0, 0, 0, 1, 90, 243, 130, 42, 70, 0, 0, 0, 0, 172, 169, 23, 39, 18, 0, 0, 4, 23, 181, 179, 31, 216, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 56, 0, 0, 0, 0, 0, 5, 61, 209, 152, 2, 0, 0, 0, 2, 91, 240, 250, 83, 3, 0, 0, 0, 38, 104, 142, 234, 31, 0, 0, 0, 4, 14, 28, 63, 24, 115, 0, 0, 3, 104, 174, 173, 115, 12, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 56, 0, 0, 0, 0, 0, 0, 43, 139, 119, 1, 0, 0, 0, 0, 35, 229, 21, 75, 0, 0, 0, 0, 6, 167, 224, 124, 70, 0, 0, 0, 0, 109, 141, 81, 203, 78, 0, 0, 0, 12, 207, 226, 87, 236, 56, 0, 0, 0, 29, 25, 21, 21, 40, stroma
70, 59, 0, 0, 0, 0, 0, 0, 67, 29, 222, 0, 0, 0, 0, 0, 3, 251, 58, 23, 0, 0, 0, 0, 0, 158, 91, 66, 90, 0, 0, 0, 0, 2, 211, 21, 126, 196, 0, 0, 0, 0, 33, 182, 92, 129, 37, 0, 0, 0, 0, 37, 32, 164, 252, 1, 0, 0, 0, 0, 0, 0, 119, 255, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 13, 202, 254, 0, 0, 0, 0, 0, 75, 105, 27, 231, 0, 0, 0, 1, 45, 82, 208, 103, 184, 0, 0, 1, 6, 110, 120, 195, 221, 162, 0, 0, 0, 53, 224, 209, 18, 103, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 178, 0, 0, 0, 0, 0, 2, 162, 36, 142, 0, 0, 0, 0, 0, 26, 91, 73, 53, 0, 0, 0, 0, 6, 206, 153, 123, 48, 0, 0, 0, 0, 80, 4, 199, 132, 156, 0, 0, 0, 0, 24, 32, 69, 43, 0, 0, 0, 0, 0, 0, 0, 4, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 21, 0, 0, 0, 0, 0, 71, 137, 117, 224, 0, 0, 0, 0, 6, 236, 184, 247, 60, 0, 0, 0, 1, 99, 3, 175, 168, 136, 0, 0, 0, 3, 69, 61, 53, 171, 38, 0, 0, 0, 15, 30, 25, 37, 200, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58, 0, 0, 0, 0, 0, 0, 68, 113, 158, 1, 0, 0, 0, 0, 239, 227, 147, 4, 1, 0, 0, 0, 22, 207, 69, 246, 203, 0, 0, 0, 0, 180, 32, 108, 33, 11, 0, 0, 0, 7, 192, 189, 59, 146, 2, 0, 0, 2, 8, 4, 0, 8, 71, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 123, 2, 0, 0, 0, 0, 0, 20, 231, 8, 114, 0, 0, 0, 0, 4, 5, 223, 119, 247, 0, 0, 0, 3, 128, 251, 81, 181, 244, 0, 0, 1, 1, 36, 24, 225, 16, 0, 0, 0, 0, 0, 0, 0, 75, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 104, 193, 21, 0, 0, 0, 0, 0, 135, 114, 218, 125, 0, 0, 0, 0, 7, 55, 185, 168, 22, 0, 0, 0, 1, 173, 105, 86, 246, 96, 0, 0, 0, 0, 23, 17, 202, 53, 0, 0, 0, 0, 0, 0, 0, 73, 2, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 20, 221, 65, 0, 0, 0, 0, 0, 5, 19, 188, 75, 0, 0, 0, 0, 9, 118, 4, 163, 112, 0, 0, 0, 2, 150, 233, 143, 92, 197, 0, 0, 1, 3, 0, 3, 221, 12, 143, 0, 0, 0, 13, 33, 30, 118, 42, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 54, 242, 242, 0, 0, 0, 0, 1, 36, 20, 98, 225, 0, 0, 0, 0, 0, 10, 146, 250, 162, 0, 0, 0, 1, 99, 165, 58, 91, 16, 0, 0, 2, 8, 233, 242, 112, 108, 1, 0, 0, 0, 4, 2, 1, 17, 242, stroma
0, 0, 0, 0, 0, 0, 0, 0, 11, 49, 106, 0, 0, 0, 0, 0, 2, 8, 211, 248, 0, 0, 0, 0, 0, 87, 46, 57, 129, 0, 0, 0, 0, 4, 72, 186, 109, 67, 0, 0, 0, 0, 30, 117, 45, 187, 249, 0, 0, 0, 0, 139, 147, 171, 64, 31, 0, 0, 0, 1, 24, 24, 6, 166, epithelium
