1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 12, 86, 0, 0, 0, 0, 0, 238, 33, 53, 89, 0, 0, 0, 0, 4, 206, 130, 64, 180, 0, 0, 0, 0, 15, 17, 71, 82, 34, 0, 0, 0, 0, 46, 16, 71, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 193, 81, 157, 0, 0, 0, 0, 0, 38, 251, 222, 180, 0, 0, 0, 0, 0, 96, 235, 150, 47, 0, 0, 0, 0, 8, 47, 166, 179, 20, 0, 0, 0, 0, 45, 48, 83, 36, 0, 0, 0, 0, 0, 4, 13, 30, 72, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 148, 0, 0, 0, 0, 0, 56, 222, 142, 163, 0, 0, 0, 0, 1, 41, 192, 236, 100, 0, 0, 0, 1, 62, 70, 221, 96, 20, 0, 0, 0, 1, 111, 0, 225, 167, 2, 0, 0, 0, 4, 57, 43, 232, 170, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100, 0, 0, 0, 0, 0, 0, 190, 180, 136, 0, 0, 0, 0, 0, 77, 150, 167, 200, 0, 0, 0, 0, 3, 56, 169, 195, 8, 0, 0, 0, 1, 49, 129, 116, 132, 196, 0, 0, 0, 0, 136, 85, 236, 77, 0, 0, 0, 0, 0, 0, 1, 44, 35, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 3, 0, 0, 0, 0, 0, 0, 190, 114, 235, 0, 0, 0, 0, 0, 140, 132, 128, 206, 0, 0, 0, 0, 0, 149, 254, 164, 106, 0, 0, 0, 1, 14, 172, 209, 140, 40, 0, 0, 0, 0, 124, 95, 227, 217, 14, 0, 0, 2, 4, 182, 169, 106, 171, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 47, 0, 0, 0, 0, 0, 3, 40, 228, 158, 0, 0, 0, 0, 2, 80, 188, 46, 97, 0, 0, 0, 0, 9, 40, 191, 43, 10, 0, 0, 0, 2, 227, 0, 98, 213, 220, 0, 0, 1, 7, 189, 172, 61, 151, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 43, 0, 0, 0, 0, 0, 0, 31, 183, 88, 0, 0, 0, 0, 0, 28, 191, 95, 46, 0, 0, 0, 0, 3, 144, 129, 94, 221, 0, 0, 0, 0, 30, 3, 74, 2, 247, 0, 0, 0, 7, 217, 143, 46, 78, 77, 0, 0, 0, 0, 37, 24, 244, 87, stroma
95, 34, 0, 0, 0, 0, 0, 0, 57, 14, 247, 0, 0, 0, 0, 0, 1, 139, 138, 57, 0, 0, 0, 0, 0, 178, 181, 124, 178, 0, 0, 0, 0, 1, 64, 151, 60, 24, 0, 0, 0, 0, 5, 110, 196, 131, 31, 0, 0, 0, 0, 33, 20, 170, 5, 2, 0, 0, 0, 0, 0, 0, 82, 36, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 0, 0, 0, 0, 0, 0, 7, 60, 146, 0, 0, 0, 0, 0, 63, 78, 140, 157, 0, 0, 0, 1, 12, 7, 133, 185, 29, 0, 0, 0, 3, 190, 88, 169, 225, 140, 0, 0, 0, 0, 220, 212, 1, 174, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 145, 0, 0, 0, 0, 0, 1, 225, 57, 59, 0, 0, 0, 0, 0, 199, 157, 231, 168, 0, 0, 0, 0, 2, 128, 25, 29, 96, 0, 0, 0, 0, 25, 190, 226, 31, 99, 0, 0, 0, 0, 24, 28, 21, 95, 0, 0, 0, 0, 0, 0, 0, 4, 0, epithelium
